,0,1,2,3,4
0,Isolate ID,HCT116 Intrinsic Confluence Disruption Assay,HCT116 Offensive Confluence Disruption Assay,HCT116 Colonization Assay,HCT116 Immune Evasion Assay
1,S4_PosNeu/Curr_ProbeCond:T&F+,2.86795763568144,,5.006790959606227,4.168398102463391
2,S7_PosNeu/Curr_ProbeCond:T&F+,3.421626357532012,6.347552283457995,4.215313686879082,3.4457189297846043
3,S9_PosNeu/Curr_ProbeCond:T&F+,5.201448387353917,6.163786049691868,4.088022922088062,2.2639308104960936
4,S10_PosNeu/Curr_ProbeCond:T&F+,5.061747810153582,5.416455602361241,3.158729992794955,3.576298535363604
5,S11_PosNeu/Curr_ProbeCond:T&F+,,6.254767290672959,3.3157465873116676,4.171428405493625
6,S12_PosNeu/Curr_ProbeCond:T&F+,3.415824289230219,5.986248772154459,4.27727256133751,1.9090727056377785
7,S13_PosNeu/Curr_ProbeCond:T&F+,6.439002499908202,4.772745776833095,4.551082085147427,4.417408615759643
8,S15_PosNeu/Curr_ProbeCond:T&F+,,5.197119383025154,4.785980520045806,4.802380786445922
9,S17_PosNeu/Curr_ProbeCond:T&F+,,3.5364480437824213,4.091312575377803,4.826977401951698
10,S18_PosNeu/Curr_ProbeCond:T&F+,5.966895061891632,,4.752816263667269,4.655440605414947
11,S19_PosNeu/Curr_ProbeCond:T&F+,,5.224175660081367,4.107503441568786,4.770500761708732
12,S20_PosNeu/Curr_ProbeCond:T&F+,5.6682593541649595,5.778769214674927,4.432233737727547,5.101285417168991
13,S24_PosNeu/Curr_ProbeCond:T&F+,5.307869743775278,,2.9484395887549573,3.693331105967882
14,S26_PosNeu/Curr_ProbeCond:T&F+,5.232923856329616,3.6890024999083897,3.4023807864459785,3.066450050514953
15,S29_PosNeu/Curr_ProbeCond:T&F+,4.384281179561778,2.631082389715268,4.419669747484869,3.787950772015984
16,S30_PosNeu/Curr_ProbeCond:T&F+,6.046062106967771,6.777755677947062,4.278315246251623,4.268542402607787
17,S31_PosNeu/Curr_ProbeCond:T&F+,,,3.987084971150284,3.3195112750049827
18,S32_PosNeu/Curr_ProbeCond:T&F+,5.650762961668737,4.054280277685915,4.680502664567899,4.592496226561243
19,S34_PosNeu/Curr_ProbeCond:T&F+,,6.126773062678811,4.238768472833906,4.378192474757598
20,S38_PosNeu/Curr_ProbeCond:T&F+,6.0003815970015655,5.180885616791345,4.12129722354441,4.266057734497997
21,S39_PosNeu/Curr_ProbeCond:T&F+,4.526484462390135,5.729586915492657,3.7160893001543576,4.580579439644623
22,S40_PosNeu/Curr_ProbeCond:T&F+,,4.04450394290951,3.3216393057045277,3.184184168249539
23,S47_PosNeu/Curr_ProbeCond:T&F+,4.055705241611048,5.034060219965916,5.188636197701479,4.0942793640587976
24,S58_PosNeu/Curr_ProbeCond:T&F+,5.47227755818326,4.362232048137669,4.350721334786567,4.401212145145933
