,0,1,2,3,4
0,Isolate ID,A549 Intrinsic Confluence Disruption Assay,A549 Offensive Confluence Disruption Assay,A549 Intrinsic Cytotoxicity Assay,A549 Offensive Cytotoxicity Assay
1,S1_Neu (ABP1),-1.8411392334715078,-4.7460411942558665,-0.887925555226055,2.5426300003295
2,S2_Neu (ABP1),-3.705109821706829,-3.75780590013823,0.19187242457172016,2.205508788208446
3,S3_Neu (ABP1),-6.012707860922527,-4.054374527589193,0.2342966669964962,3.8342966669963165
4,S4_C5a (ABP2),-3.7252078609225525,-4.298859821706885,1.5394248721244284,0.006457839157286427
5,S5_C5a (ABP2),-3.873124527589203,-3.717977468765671,2.5366776193770444,2.5604871431866596
6,S6_Neg 1-2,-4.648124527589264,-4.81270786092256,1.1195530772526618,2.0394248721243984
7,S7_Neg 1-2,-4.51687452758919,-5.14604119425586,2.6676300003295594,0.20929666699597443
8,S8_Neu (ABP1),-3.44187452758908,-2.078271586412646,0.4483317547154144,0.4176300003294747
9,S9_Neu (ABP1),-0.9022911942557383,-3.866874527589172,-1.4464050873898362,-0.9740366663373475
10,S10_Neu (ABP1),-2.003184051398856,-3.964791194255784,0.23173256443192858,1.405725238424597
11,S11_C5a (ABP2),-4.523124527589221,-4.9460411942558675,3.500963333663064,1.3555087882082348
12,S12_C5a (ABP2),-4.616874527589175,-4.398124527589172,2.1259633336628947,1.637326970026492
13,S13_C5a (ABP2),-5.179374527589171,-4.09113923347161,1.3134633336627561,2.62596333366288
14,S14_C5a (ABP2),-4.271286292295121,-4.169506106536574,-0.4819912117918632,4.000963333662812
15,S15_Neg 1-2,-4.521286292295088,-3.0029039393539096,-0.2740366663370978,2.750963333662864
16,S16_Neg 1-2,-3.6407715864127237,-5.0231245275892,4.500963333662916,1.0009633336627684
17,S17_T3SS (ABP3),-4.054374527589192,-4.812707860922542,0.473185555884969,1.4952815154811612
18,S18_T3SS (ABP3),-4.001596749811386,-4.375207860922494,-1.0657033330038717,-1.699036666337232
19,S19_T3SS (ABP3),-4.524962762883291,-4.389178449157827,1.0509633336629132,1.4563204765198954
20,S20_Cur (ABP4),-3.8029039393538904,-3.697756880530408,-2.5944912117918815,0.900963333662931
21,S21_Cur (ABP4),-4.366874527589205,-5.012707860922489,1.8581061908058882,1.584296666996143
22,S22_Cur (ABP4),-3.7439578609225457,-4.925207860922544,3.200963333663071,3.4176300003295745
23,"S23_T3SS, Cur",-4.616874527589244,-4.383541194255901,3.137326970026517,3.2509633336628934
24,"S24_T3SS, Cur",-3.523124527589192,-5.028394135432384,2.0902490479486904,0.7648522225518458
