,0,1,2,3,4
0,Isolate ID,HCT116 Intrinsic Confluence Disruption Assay,HCT116 Offensive Confluence Disruption Assay,HCT116 Colonization Assay,HCT116 Immune Evasion Assay
1,S59_PosNeu/Curr_ProbeCond:T&F+,2.5827099829011844,6.500232936138557,5.087553946619394,4.813203297268471
2,S61_PosNeu/Curr_ProbeCond:T&F+,6.234998170903946,5.045784606690192,4.7517855483510605,4.251051163687871
3,S63_PosNeu/Curr_ProbeCond:T&F+,,,5.2861470202120415,4.425396659461904
4,S65_PosNeu/Curr_ProbeCond:T&F+,,,4.096572705637918,5.361904595970063
5,S66_PosNeu/Curr_ProbeCond:T&F+,,,3.891666500731864,4.188960873026147
6,S69_PosNeu/Curr_ProbeCond:T&F+,,,4.050216284281708,4.175448195228032
7,S72_PosNeu/Curr_ProbeCond:T&F+,,,5.426190310255595,2.322943557008818
8,S74_PosNeu/Curr_ProbeCond:T&F+,,,4.6555553896205994,4.3874148000516255
9,S75_PosNeu/Curr_ProbeCond:T&F+,,,5.410064769129971,3.8248374964033114
10,S77_PosNeu/Curr_ProbeCond:T&F+,,,4.146753080818314,4.2263139960934755
11,S78_PosNeu/Curr_ProbeCond:T&F+,,,5.007196803762255,4.459595793661125
12,S80_PosNeu/Curr_ProbeCond:T&F+,,,3.161971592465318,4.813203297268723
13,S81_PosNeu/Curr_ProbeCond:T&F+,,,4.258224942290242,5.286147020212372
14,S83_PosNeu/Curr_ProbeCond:T&F+,,,4.287590021655593,5.36190459596993
15,S85_PosNeu/Curr_ProbeCond:T&F+,6.6754743613800365,,4.2972400938052004,4.326767510832827
16,S71_PosC5a/DFC_ProbeCond:FITC+,,,4.52294355700891,2.357079559894817
17,S88_Neg Neu/Curc1 LB_ProbeCond:TAMRA-,,6.360178546084254,4.735930569995742,4.212734321799509
18,S89_Neg Neu/Curc1 LB_ProbeCond:TAMRA-,5.6826893685950175,,3.9662336002991005,4.130465202030766
19,S90_Neg Neu/Curc1 LB_ProbeCond:TAMRA-,7.099356035261709,6.707941893847746,4.641260656576001,4.888960873026241
20,S91_Neg Neu/Curc1 LB_ProbeCond:FITC-,,,4.406457265522624,4.182611666677022
21,Black,,5.338533524439136,3.6208752549405507,2.838713501350142
22,100CFUSflexneri,4.949825010731009,5.925835111740377,4.4878276924814635,3.1703461544114226
23,100CFUEcoliNissle,6.250690811596508,5.283483019388402,3.618217727283129,3.996554668119914
24,LB,,6.170063105968792,4.196726024541247,2.9227812193466454
