,loss,accuracy,val_loss,val_accuracy
0,0.5168351531028748,0.7435766458511353,0.4912642538547516,0.7680846452713013
1,0.42742207646369934,0.8120623230934143,0.3882381319999695,0.8331628441810608
2,0.34689459204673767,0.8556392788887024,0.3147083818912506,0.8700845837593079
3,0.2554852068424225,0.8972406983375549,0.1907714158296585,0.9268795251846313
4,0.18072554469108582,0.9302225112915039,0.14748962223529816,0.9458699822425842
5,0.1363987922668457,0.9499499797821045,0.10304199159145355,0.9652975797653198
6,0.1063939779996872,0.9621731638908386,0.1320423185825348,0.9491317272186279
7,0.08777239173650742,0.9695541262626648,0.0726284384727478,0.9762009382247925
8,0.07078490406274796,0.9760608673095703,0.10341488569974899,0.9638180732727051
9,0.058957505971193314,0.980320155620575,0.07288508862257004,0.9757413864135742
10,0.04778105020523071,0.984150767326355,0.05333925411105156,0.9825479388237
11,0.038895368576049805,0.9873116612434387,0.05008126050233841,0.9839293956756592
12,0.033117540180683136,0.9890322089195251,0.03855563700199127,0.9876226782798767
